Codigo Barra;Codigo Pieza;Especificacion;Descripcion;Repuesto;Procedencia;Marca;Unidad;Medida;Precio Venta
2.421;13011-58030-050;SDT10136-NPR;ANILLAS TOY.13B/3.4 DIESEL 102MM  2.5x2.5x4.5;NPR;JAPON;TOYOTA;JGO;050-STD10136-NPR;0,00
2.422;21060-J0325;NS-1181   215-26060;ASPA VENTILADOR NIS.H20 UNIV.;HT;TW;NISSAN;PZA;32x49x66.5x8ALE        NS-1181;0,00
2.423;15010-7S000-YSK;YSK-NS1539;BOMBA ACEITE NIS.VK56DE/V8 TITAN/ARMADA;YSK;JP;NISSAN;PZA;;0,00
2.424;13011-58030-075;SDT10136-NPR;ANILLAS TOY.13B/3.4 DIESEL 102MM  2.5x2.5x4.5;NPR;JAPON;TOYOTA;JGO;075-STD10136-NPR;0,00
2.425;13011-58030-STD;STD10136-NPR;ANILLAS TOY.13B/3.4 DIESEL 102MM  2.5x2.5x4.5;NPR;JAPON;TOYOTA;JGO;STD-STD10136-NPR;0,00
2.426;11320-67010-T;YSK-TA1373;BOMBA ACEITE TOY.1KZT/HILUX/HIACE/PRADO;YSK;TW;TOYOTA;PZA;YSK-TA1373;0,00
2.427;47201-42320;BMT-383/RHD;BOMBA FRENO TOY.3S/RAV4 HIDRAULICO         NOAH 2010 S/T;ADVICS/AISIN/B/F;JAPON;TOYOTA;PZA;2PERx105xS/LHxC/T/ALTO;0,00
2.428;11320-EA213-T;;SOPORTE TRANSM.CAJA NIS.YD25DDTI/R51 05-;IR;TH;NISSAN;PZA;3PERx2HUECOS;0,00
2.429;47028-60010;BMT-388/C/R/LIQ;BOMBA FRENO TOY.1GR/13/16 PRADO/4RUNNER/HILUX/VIGO NEW 02-09- HIDRAULICO C/R/LIQ;ADVICS/AISIN/B/F;JAPON;TOYOTA;PZA;2PERx110xS/RHxC/R/LIQ  13/16 HIDRAULICO;0,00
2.430;13011-58050-025;SDT10135-NPR;ANILLAS TOY.14B  DIESEL  102MM  S/C  2.5x2x4;NPR;JAPON;TOYOTA;JGO;025-SDT10135-NPR;0,00
2.431;13011-58050-050;SDT10135-NPR;ANILLAS TOY.14B  DIESEL  102MM  S/C  2.5x2x4;NPR;JAPON;TOYOTA;JGO;050-SDT10135-NPR;0,00
2.432;11270-CA103-TH;;SOPORTE MOTOR DEL.NIS.MURANO-Z50;IR;TH;NISSAN;PZA;12x2PER                       11270-CA103;0,00
2.433;1300A083;M-94;BOMBA AGUA MIT.4B11/4B12/2.0/2.4/GALANT/OUTLAND/DELICA 05-09- T/4E/T/5E C/POLEA;GMB/NPW/B/A;JAPON;MITSUBISHI;PZA;C/Px6PKx3PERx5PER               M-94;0,00
2.434;13011-58050-STD;SDT10135-NPR;ANILLAS TOY.14B  DIESEL  102MM  S/C  2.5x2x4;NPR;JAPON;TOYOTA;JGO;STD-SDT10135-NPR;0,00
2.435;47028-60030;BMT-382/RHD;BOMBA FRENO TOY.1GR/13/16 PRADO/4RUNNER/HILUX/VIGO NEW 02-11- HIDRAULICO;ADVICS/AISIN/B/F;JAPON;TOYOTA;PZA;2PERx110xS/LH  13/16  HIDRAULICO;0,00
2.436;47201-35460;BMT-092;BOMBA FRENO TOY.13/16 HILUX 85- 4PERx180xS/LHxC/T;ADVICS/AISIN/B/F;JAPON;TOYOTA;PZA;4PERx180xS/LHxC/T;0,00
2.437;13011-58090-025;SDT10188ZZ-NPR;ANILLAS TOY.15B  DIESEL  108MM  S/C  3X2X4  ok*;NPR;JAPON;TOYOTA;JGO;025-SDT10188ZZ-NPR;0,00
2.438;13011-58090-STD;SDT10188ZZ-NPR;ANILLAS TOY.15B  DIESEL  108MM  S/C  3X2X4  ok*;NPR;JAPON;TOYOTA;JGO;STD-SDT10188ZZ-NPR;0,00
